image_file,DOCUMENT_TYPE,SUPPLIER,ABN,PAYER_NAME,PAYER_ADDRESS,PAYER_PHONE,PAYER_EMAIL,INVOICE_DATE,DUE_DATE,GST,TOTAL,SUBTOTAL,SUPPLIER_WEBSITE,QUANTITIES,PRICES,BUSINESS_ADDRESS,BUSINESS_PHONE,BANK_NAME,BSB_NUMBER,BANK_ACCOUNT_NUMBER,ACCOUNT_HOLDER,STATEMENT_PERIOD,OPENING_BALANCE,CLOSING_BALANCE,DESCRIPTIONS
synthetic_invoice_011.png,RECEIPT,Chemist Warehouse,39 032 718 108,Ava Rodriguez,"955 Collins Street, Darwin NT 0800",(68) 9351 9548,ava.rodriguez@hotmail.com,24/07/2025,29/08/2025,$4.13,$45.45,$41.32,jbhifi.com.au,1 | 1 | 2 | 3 | 3 | 2,$2.90 | $4.90 | $3.20 | $3.20 | $3.20 | $3.96,"78 Collins Street, Canberra ACT 2600",(51) 9167 9338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_012.png,BANK STATEMENT,Woolworths Limited,51 064 241 546,Michael Brown,"347 Queen Street, Perth WA 6000",(31) 5965 8660,michael.brown@hotmail.com,21/07/2025,29/08/2025,$6.72,$73.92,$67.20,ampol.com.au,3 | 3 | 2 | 3 | 2,$6.20 | $6.80 | $6.80 | $3.20 | $2.50,"606 Flinders Street, Darwin NT 0800",(99) 6393 2829,National Australia Bank,083 004,8150092,Jessica Davis,30/06/2025 to 30/07/2025,$26313.32,$25937.34,INTEREST PAYMENT | REFUND PROCESSED | CARD PAYMENT | EFTPOS PURCHASE
synthetic_invoice_013.png,BANK STATEMENT,Officeworks,03 216 143 952,Emily Thompson,"879 Pitt Street, Hobart TAS 7000",(55) 9136 5859,emily.thompson@bigpond.com,19/07/2025,29/08/2025,$5.47,$60.17,$54.70,woolworths.com.au,3 | 2 | 2 | 1 | 3,$6.20 | $4.20 | $4.90 | $3.20 | $4.90,"367 Flinders Street, Perth WA 6000",(44) 7182 9509,ANZ Banking Group,012-003,34911325,Ava Rodriguez,30/06/2025 to 30/07/2025,$1933.49,$1579.31,REFUND PROCESSED | EFTPOS PURCHASE | DIRECT DEBIT UTILITIES | FEE CHARGED | DEPOSIT | ONLINE TRANSFER
synthetic_invoice_014.png,BANK STATEMENT,JB Hi-Fi,33 065 903 731,David Miller,"7 Flinders Street, Brisbane QLD 4000",(46) 2006 2172,david.miller@bigpond.com,14/07/2025,29/08/2025,$3.80,$41.79,$37.99,coles.com.au,3 | 1 | 3,$8.50 | $3.79 | $2.90,"967 Bourke Street, Canberra ACT 2600",(33) 5003 8408,Commonwealth Bank,062 692,647469979,John Smith,30/06/2025 to 30/07/2025,$11201.62,$12098.28,ATM WITHDRAWAL | EFTPOS PURCHASE | DIRECT DEBIT UTILITIES
synthetic_invoice_015.png,RECEIPT,Coles Group Limited,29 452 668 024,Matthew Clark,"375 York Street, Adelaide SA 5000",(93) 1267 9824,matthew.clark@gmail.com,19/07/2025,29/08/2025,$1.19,$13.07,$11.88,7eleven.com.au,2 | 1,$3.96 | $3.96,"666 George Street, Adelaide SA 5000",(23) 6154 5811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_016.png,RECEIPT,The Good Guys,22 009 868 604,Emily Thompson,"744 Bourke Street, Perth WA 6000",(66) 3784 2368,emily.thompson@yahoo.com.au,03/07/2025,29/08/2025,$3.73,$41.03,$37.30,woolworths.com.au,3 | 1 | 2 | 3,$4.80 | $4.90 | $4.20 | $3.20,"836 Flinders Street, Perth WA 6000",(23) 3533 5533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_017.png,RECEIPT,Woolworths Limited,71 535 202 488,Daniel Garcia,"925 Queen Street, Darwin NT 0800",(94) 4119 6610,daniel.garcia@outlook.com,10/07/2025,29/08/2025,$3.70,$40.65,$36.95,7eleven.com.au,3 | 1 | 1 | 1 | 2 | 2,$3.79 | $3.42 | $3.20 | $4.20 | $3.96 | $3.42,"533 Flinders Street, Hobart TAS 7000",(97) 6216 9112,Bendigo Bank,633-000,484666,James Anderson,30/06/2025 to 30/07/2025,$9371.20,$9799.99,CARD PAYMENT | ATM WITHDRAWAL | DIRECT CREDIT SALARY | INTEREST PAYMENT
synthetic_invoice_018.png,RECEIPT,Dan Murphy's,31 342 674 034,John Smith,"6 Adelaide Street, Sydney NSW 2000",(77) 8235 6996,john.smith@hotmail.com,01/07/2025,29/08/2025,$7.89,$86.76,$78.87,thegoodguys.com.au,2 | 3 | 3 | 3 | 3 | 2,$3.80 | $8.90 | $4.90 | $2.90 | $4.53 | $3.79,"929 Bourke Street, Melbourne VIC 3000",(47) 6619 8923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_019.png,RECEIPT,SPOTLIGHT,22 710 210 745,Ava Rodriguez,"243 Bourke Street, Hobart TAS 7000",(87) 6951 4421,ava.rodriguez@bigpond.com,19/07/2025,29/08/2025,$3.01,$33.11,$30.10,kmart.com.au,1 | 2 | 1 | 1 | 3,$4.80 | $3.80 | $4.90 | $3.20 | $3.20,"185 George Street, Brisbane QLD 4000",(86) 3684 2689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_020.png,RECEIPT,ALDI Australia,86 222 938 005,Robert Taylor,"901 Collins Street, Brisbane QLD 4000",(77) 8565 5273,robert.taylor@yahoo.com.au,02/07/2025,29/08/2025,$1.92,$21.14,$19.22,bunnings.com.au,2 | 2,$4.90 | $4.71,"722 Flinders Street, Perth WA 6000",(46) 9728 6042,Suncorp Bank,703-123,57161434,Matthew Clark,30/06/2025 to 30/07/2025,$11658.31,$12961.02,DIRECT CREDIT SALARY | DIRECT DEBIT UTILITIES | EFTPOS PURCHASE | DEPOSIT
