image_name,overall_accuracy,correct_fields,total_fields,field_accuracy_rate,ABN_accuracy,ABN_extracted,ABN_ground_truth,ACCOUNT_HOLDER_accuracy,ACCOUNT_HOLDER_extracted,ACCOUNT_HOLDER_ground_truth,BANK_ACCOUNT_NUMBER_accuracy,BANK_ACCOUNT_NUMBER_extracted,BANK_ACCOUNT_NUMBER_ground_truth,BANK_NAME_accuracy,BANK_NAME_extracted,BANK_NAME_ground_truth,BSB_NUMBER_accuracy,BSB_NUMBER_extracted,BSB_NUMBER_ground_truth,BUSINESS_ADDRESS_accuracy,BUSINESS_ADDRESS_extracted,BUSINESS_ADDRESS_ground_truth,BUSINESS_PHONE_accuracy,BUSINESS_PHONE_extracted,BUSINESS_PHONE_ground_truth,CLOSING_BALANCE_accuracy,CLOSING_BALANCE_extracted,CLOSING_BALANCE_ground_truth,DESCRIPTIONS_accuracy,DESCRIPTIONS_extracted,DESCRIPTIONS_ground_truth,DOCUMENT_TYPE_accuracy,DOCUMENT_TYPE_extracted,DOCUMENT_TYPE_ground_truth,DUE_DATE_accuracy,DUE_DATE_extracted,DUE_DATE_ground_truth,GST_accuracy,GST_extracted,GST_ground_truth,INVOICE_DATE_accuracy,INVOICE_DATE_extracted,INVOICE_DATE_ground_truth,OPENING_BALANCE_accuracy,OPENING_BALANCE_extracted,OPENING_BALANCE_ground_truth,PAYER_ADDRESS_accuracy,PAYER_ADDRESS_extracted,PAYER_ADDRESS_ground_truth,PAYER_EMAIL_accuracy,PAYER_EMAIL_extracted,PAYER_EMAIL_ground_truth,PAYER_NAME_accuracy,PAYER_NAME_extracted,PAYER_NAME_ground_truth,PAYER_PHONE_accuracy,PAYER_PHONE_extracted,PAYER_PHONE_ground_truth,PRICES_accuracy,PRICES_extracted,PRICES_ground_truth,QUANTITIES_accuracy,QUANTITIES_extracted,QUANTITIES_ground_truth,STATEMENT_PERIOD_accuracy,STATEMENT_PERIOD_extracted,STATEMENT_PERIOD_ground_truth,SUBTOTAL_accuracy,SUBTOTAL_extracted,SUBTOTAL_ground_truth,SUPPLIER_accuracy,SUPPLIER_extracted,SUPPLIER_ground_truth,SUPPLIER_WEBSITE_accuracy,SUPPLIER_WEBSITE_extracted,SUPPLIER_WEBSITE_ground_truth,TOTAL_accuracy,TOTAL_extracted,TOTAL_ground_truth
synthetic_invoice_011.png,0.272,6,25,24.0,0.0,61 5555 924 470,61 555 924 470,0.0,nan,N/A,0.0,1661141.0,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,"815 King Street, Melbourne VIC 3000","360 Flinders Street, Perth WA 6000",0.0,(30) 6395 3016,(21) 7917 9718,0.0,nan,N/A,0.0,nan,N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,1.0,$1.94,$1.94,1.0,25/07/2025,25/07/2025,0.0,nan,N/A,0.0,"360 Flinders Street, Perth WA 6000","815 King Street, Melbourne VIC 3000",0.0,nan,N/A,0.0,Bill To,Olivia White,0.0,(21) 7917 9718,(30) 6395 3016,0.0,"$4.20, $2.50, $8.50",$4.20 | $2.50 | $8.50,0.0,"2, 1, 1",2 | 1 | 1,0.0,nan,N/A,1.0,$19.40,$19.40,1.0,EY Australia,EY Australia,0.0,nan,N/A,1.0,$21.34,$21.34
synthetic_invoice_012.png,0.44,11,25,44.0,0.0,99 122 988  747,99 122 988 747,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"509 Bourke Street, Perth WA 6000","509 Bourke Street, Perth WA 6000",0.0,(57)4704 8049,(57) 4704 8049,0.0,nan,N/A,0.0,"Ground Beef 500g, Apples (kg), Potatoes 2kg",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$2.17,$2.17,1.0,02/08/2025,02/08/2025,0.0,nan,N/A,1.0,"333 Adelaide Street, Brisbane QLD 4000","333 Adelaide Street, Brisbane QLD 4000",1.0,james.anderson@gmail.com,james.anderson@gmail.com,1.0,James Anderson,James Anderson,0.0,(35)6716 6435,(35) 6716 6435,0.0,"$8.90, $3.96, $4.90",$8.90 | $3.96 | $4.90,0.0,"1, 2, 1",1 | 2 | 1,0.0,nan,N/A,1.0,$21.72,$21.72,1.0,The Good Guys,The Good Guys,1.0,thegoodguys.com.au,thegoodguys.com.au,1.0,$23.89,$23.89
synthetic_invoice_013.png,0.2,5,25,20.0,0.0,nan,N/A,1.0,Sophie Martin,Sophie Martin,1.0,748530949.0,748530949.0,1.0,Commonwealth Bank,Commonwealth Bank,1.0,063140,063140,0.0,nan,N/A,0.0,nan,N/A,0.0,$31391.49,$26488.63,0.0,nan,EFTPOS PURCHASE | REFUND PROCESSED | FEE CHARGED | ONLINE TRANSFER,0.0,nan,BANK STATEMENT,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,$26424.77,$26599.53,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,1300 236 344,N/A,0.0,$174.76; $87.16; $23.06; $190.26; $159.33; $195.29; $5610.37; $88.31; $44.72,N/A,0.0,nan,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A
synthetic_invoice_014.png,0.52,13,25,52.0,1.0,61 667 612 968,61 667 612 968,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"10 Collins Street, Melbourne VIC 3000","10 Collins Street, Melbourne VIC 3000",1.0,(61) 3014 7085,(61) 3014 7085,0.0,nan,N/A,0.0,"Ground Beef 500g, Potatoes 2kg, Tea Bags (box), Onions 1kg, Apples (kg)",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$5.38,$5.38,1.0,12/07/2025,12/07/2025,0.0,nan,N/A,1.0,"478 Charlotte Street, Brisbane QLD 4000","478 Charlotte Street, Brisbane QLD 4000",1.0,ava.rodriguez@outlook.com,ava.rodriguez@outlook.com,1.0,Ava Rodriguez,Ava Rodriguez,1.0,(86) 3979 2861,(86) 3979 2861,0.0,"$8.90, $4.90, $4.53, $3.20, $3.96, $11.88",$8.90 | $4.90 | $4.53 | $3.20 | $3.96,0.0,"1, 2, 3,  1, 2, 3,  1, 3",1 | 2 | 3 | 3 | 3,0.0,nan,N/A,1.0,$53.77,$53.77,1.0,JB Hi-Fi,JB Hi-Fi,0.0,jbihifi.com.au,jbhifi.com.au,1.0,$59.15,$59.15
synthetic_invoice_015.png,0.4,10,25,40.0,1.0,97 492 312 203,97 492 312 203,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,"742 Collins Street, Canberra ACT 2600","174 Collins Street, Canberra ACT 2600",0.0,(60) 7691 5420,(79) 7777 7841,0.0,nan,N/A,0.0,"Bread Loaf, Bananas (kg), Bread Loaf",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$1.32,$1.32,1.0,07/07/2025,07/07/2025,0.0,nan,N/A,0.0,"742 Collins Street, Canberra ACT 2600","742 Queen Street, Hobart TAS 7000",1.0,daniel.garcia@bigpond.com,daniel.garcia@bigpond.com,1.0,Daniel Garcia,Daniel Garcia,0.0,(79) 7777 7841,(60) 7691 5420,0.0,"$3.20, $3.42, $3.20",$3.20 | $3.42 | $3.20,0.0,"1, 2, 1",1 | 2 | 1,0.0,nan,N/A,1.0,$13.24,$13.24,1.0,Bunnings Group Limited,Bunnings Group Limited,1.0,bunnings.com.au,bunnings.com.au,1.0,$14.56,$14.56
synthetic_invoice_016.png,0.48,12,25,48.0,1.0,47 083 667 253,47 083 667 253,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"443 George Street, Darwin NT 0800","443 George Street, Darwin NT 0800",0.0,(27)1413 2204,(27) 1413 2204,0.0,nan,N/A,0.0,nan,N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$3.69,$3.69,1.0,10/07/2025,10/07/2025,0.0,nan,N/A,1.0,"186 Flinders Street, Brisbane QLD 4000","186 Flinders Street, Brisbane QLD 4000",1.0,sophie.martin@outlook.com,sophie.martin@outlook.com,1.0,Sophie Martin,Sophie Martin,0.0,(31)9823 7713,(31) 9823 7713,0.0,"$4.20, $4.20, $12.60, $1.65, $1.75, $1.65, $1.65, $1.65",$4.20 | $4.20 | $1.65 | $1.75 | $1.65 | $1.65,0.0,"1, 3, 3, 3,  3, 3,  3, 3,  3",1 | 3 | 3 | 3 | 3 | 3,0.0,nan,N/A,1.0,$36.90,$36.90,1.0,Mobil Australia,Mobil Australia,1.0,mobil.com.au,mobil.com.au,1.0,$40.59,$40.59
synthetic_invoice_017.png,0.2,5,25,20.0,0.0,nan,N/A,1.0,Olivia White,Olivia White,1.0,5449357013.0,5449357013.0,1.0,ANZ Banking Group,ANZ Banking Group,1.0,012003,012003,0.0,nan,N/A,0.0,nan,N/A,0.0,$41006.87,$28897.31,0.0,DIRECT CREDIT SALARY,DEPOSIT | ATM WITHDRAWAL | INTEREST PAYMENT | CARD PAYMENT,0.0,ANZ Banking Group,BANK STATEMENT,0.0,06/08/2025,N/A,0.0,nan,N/A,0.0,03/05/2025,N/A,0.0,$31645.13,$29065.21,0.0,nan,N/A,0.0,nan,N/A,0.0,Olivia White,N/A,0.0,1300 236 344,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,07/07/2025 to 06/08/2025,07/07/2025 to 06/08/2025,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A
synthetic_invoice_018.png,0.52,13,25,52.0,1.0,70 341 963 178,70 341 963 178,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"310 George Street, Brisbane QLD 4000","310 George Street, Brisbane QLD 4000",1.0,(36) 9565 3243,(36) 9565 3243,0.0,nan,N/A,0.0,"Diesel, Coffee Large, Car Wash",N/A,1.0,RECEIPT,RECEIPT,0.0,nan,N/A,1.0,$6.19,$6.19,1.0,02/08/2025,02/08/2025,0.0,nan,N/A,1.0,"630 Elizabeth Street, Hobart TAS 7000","630 Elizabeth Street, Hobart TAS 7000",1.0,jessica.davis@yahoo.com.au,jessica.davis@yahoo.com.au,1.0,Jessica Davis,Jessica Davis,1.0,(78) 5564 8768,(78) 5564 8768,0.0,"$1.70, $4.50, $15.00",$1.70 | $4.50 | $15.00,0.0,"2, 3, 3",2 | 3 | 3,0.0,nan,N/A,1.0,$61.90,$61.90,1.0,Mobil Australia,Mobil Australia,0.0,mobi.com.au,mobil.com.au,1.0,$68.09,$68.09
synthetic_invoice_019.png,0.44,11,25,44.0,1.0,35 235 502 822,35 235 502 822,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"728 George Street, Canberra ACT 2600","728 George Street, Canberra ACT 2600",0.0,(27)7348 8837,(27) 7348 8837,0.0,nan,N/A,0.0,"Coffee Large, Diesel, Unleaded Petrol, Car Wash",N/A,0.0,TAX INVOICE,RECEIPT,0.0,nan,N/A,1.0,$6.35,$6.35,1.0,01/08/2025,01/08/2025,0.0,nan,N/A,1.0,"243 Collins Street, Hobart TAS 7000","243 Collins Street, Hobart TAS 7000",1.0,emma.wilson@yahoo.com.au,emma.wilson@yahoo.com.au,1.0,Emma Wilson,Emma Wilson,0.0,(85)7619 2731,(85) 7619 2731,0.0,"$4.50, $1.70, $1.65, $15.00",$4.50 | $1.70 | $1.65 | $15.00,0.0,"3, 1, 2, 3",3 | 1 | 2 | 3,0.0,nan,N/A,1.0,$63.50,$63.50,1.0,Shell Australia,Shell Australia,1.0,shell.com.au,shell.com.au,1.0,$69.85,$69.85
synthetic_invoice_020.png,0.512,12,25,48.0,1.0,66 495 342 637,66 495 342 637,0.0,nan,N/A,0.0,4746299178.0,N/A,0.0,nan,N/A,0.0,nan,N/A,1.0,"905 Bourke Street, Brisbane QLD 4000","905 Bourke Street, Brisbane QLD 4000",1.0,(67) 4685 6585,(67) 4685 6585,0.0,nan,N/A,0.0,nan,N/A,0.8,INVOICE,TAX INVOICE,1.0,05/09/2025,05/09/2025,1.0,$3.66,$3.66,1.0,20/07/2025,20/07/2025,0.0,nan,N/A,1.0,"880 Queen Street, Perth WA 6000","880 Queen Street, Perth WA 6000",0.0,nan,N/A,1.0,John Smith,John Smith,1.0,(29) 8408 6401,(29) 8408 6401,0.0,"$3.80, $3.20, $3.80, $4.80",$3.80 | $3.20 | $3.80 | $4.80,0.0,"2, 1, 3, 3",2 | 1 | 3 | 3,0.0,nan,N/A,1.0,$36.60,$36.60,1.0,PwC Australia,PwC Australia,0.0,nan,N/A,1.0,$40.26,$40.26
