image_file,DOCUMENT_TYPE,SUPPLIER,ABN,PAYER_NAME,PAYER_ADDRESS,PAYER_PHONE,PAYER_EMAIL,INVOICE_DATE,DUE_DATE,GST,TOTAL,SUBTOTAL,QUANTITIES,PRICES,BUSINESS_ADDRESS,BUSINESS_PHONE,SUPPLIER_WEBSITE,BANK_NAME,BSB_NUMBER,BANK_ACCOUNT_NUMBER,ACCOUNT_HOLDER,STATEMENT_PERIOD,OPENING_BALANCE,CLOSING_BALANCE,DESCRIPTIONS
synthetic_invoice_011.png,TAX INVOICE,EY Australia,61 555 924 470,Olivia White,"815 King Street, Melbourne VIC 3000",(30) 6395 3016,N/A,25/07/2025,05/09/2025,$1.94,$21.34,$19.40,2 | 1 | 1,$4.20 | $2.50 | $8.50,"360 Flinders Street, Perth WA 6000",(21) 7917 9718,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_012.png,RECEIPT,The Good Guys,99 122 988 747,James Anderson,"333 Adelaide Street, Brisbane QLD 4000",(35) 6716 6435,james.anderson@gmail.com,02/08/2025,N/A,$2.17,$23.89,$21.72,1 | 2 | 1,$8.90 | $3.96 | $4.90,"509 Bourke Street, Perth WA 6000",(57) 4704 8049,thegoodguys.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_013.png,BANK STATEMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commonwealth Bank,063140,748530949,Sophie Martin,07/07/2025 to 06/08/2025,$26599.53,$26488.63,EFTPOS PURCHASE | REFUND PROCESSED | FEE CHARGED | ONLINE TRANSFER
synthetic_invoice_014.png,RECEIPT,JB Hi-Fi,61 667 612 968,Ava Rodriguez,"478 Charlotte Street, Brisbane QLD 4000",(86) 3979 2861,ava.rodriguez@outlook.com,12/07/2025,N/A,$5.38,$59.15,$53.77,1 | 2 | 3 | 3 | 3,$8.90 | $4.90 | $4.53 | $3.20 | $3.96,"10 Collins Street, Melbourne VIC 3000",(61) 3014 7085,jbhifi.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_015.png,RECEIPT,Bunnings Group Limited,97 492 312 203,Daniel Garcia,"742 Queen Street, Hobart TAS 7000",(60) 7691 5420,daniel.garcia@bigpond.com,07/07/2025,N/A,$1.32,$14.56,$13.24,1 | 2 | 1,$3.20 | $3.42 | $3.20,"174 Collins Street, Canberra ACT 2600",(79) 7777 7841,bunnings.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_016.png,RECEIPT,Mobil Australia,47 083 667 253,Sophie Martin,"186 Flinders Street, Brisbane QLD 4000",(31) 9823 7713,sophie.martin@outlook.com,10/07/2025,N/A,$3.69,$40.59,$36.90,1 | 3 | 3 | 3 | 3 | 3,$4.20 | $4.20 | $1.65 | $1.75 | $1.65 | $1.65,"443 George Street, Darwin NT 0800",(27) 1413 2204,mobil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_017.png,BANK STATEMENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ANZ Banking Group,012003,5449357013,Olivia White,07/07/2025 to 06/08/2025,$29065.21,$28897.31,DEPOSIT | ATM WITHDRAWAL | INTEREST PAYMENT | CARD PAYMENT
synthetic_invoice_018.png,RECEIPT,Mobil Australia,70 341 963 178,Jessica Davis,"630 Elizabeth Street, Hobart TAS 7000",(78) 5564 8768,jessica.davis@yahoo.com.au,02/08/2025,N/A,$6.19,$68.09,$61.90,2 | 3 | 3,$1.70 | $4.50 | $15.00,"310 George Street, Brisbane QLD 4000",(36) 9565 3243,mobil.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_019.png,RECEIPT,Shell Australia,35 235 502 822,Emma Wilson,"243 Collins Street, Hobart TAS 7000",(85) 7619 2731,emma.wilson@yahoo.com.au,01/08/2025,N/A,$6.35,$69.85,$63.50,3 | 1 | 2 | 3,$4.50 | $1.70 | $1.65 | $15.00,"728 George Street, Canberra ACT 2600",(27) 7348 8837,shell.com.au,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
synthetic_invoice_020.png,TAX INVOICE,PwC Australia,66 495 342 637,John Smith,"880 Queen Street, Perth WA 6000",(29) 8408 6401,N/A,20/07/2025,05/09/2025,$3.66,$40.26,$36.60,2 | 1 | 3 | 3,$3.80 | $3.20 | $3.80 | $4.80,"905 Bourke Street, Brisbane QLD 4000",(67) 4685 6585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
